epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5291,0.78514,2.45094,1.06457,0.35338,0.8386,0.38227,0.31451,0.71078,2.32738,0.97988,0.000330969,0.000330969,0.000330969
2,97.4718,0.77089,1.54071,1.04729,0.38938,0.75122,0.53133,0.44174,0.69175,1.90785,0.98763,0.000657726,0.000657726,0.000657726
3,134.781,0.77941,1.43076,1.03952,0.39653,0.78389,0.65559,0.52949,0.71696,1.90851,0.9651,0.000977883,0.000977883,0.000977883
4,170.37,0.76019,1.36915,1.02908,0.60598,0.77875,0.67611,0.55307,0.6918,1.37111,0.95714,0.0009703,0.0009703,0.0009703
5,207.486,0.74998,1.26108,1.0138,0.48519,0.74411,0.68385,0.56942,0.67274,1.62949,0.92957,0.0009604,0.0009604,0.0009604
6,242.871,0.73795,1.19836,1.00266,0.68587,0.83627,0.81215,0.6859,0.65536,0.99884,0.91894,0.0009505,0.0009505,0.0009505
7,279.5,0.74538,1.17784,1.01331,0.69059,0.79256,0.77666,0.66415,0.61388,0.95121,0.89395,0.0009406,0.0009406,0.0009406
8,316.156,0.72255,1.12431,1.00085,0.6735,0.79046,0.78436,0.66325,0.66179,0.96828,0.90334,0.0009307,0.0009307,0.0009307
9,352.564,0.72669,1.08374,0.99369,0.65097,0.83917,0.83179,0.69996,0.65172,0.87751,0.88945,0.0009208,0.0009208,0.0009208
10,388.989,0.70922,1.07818,0.99295,0.56207,0.85625,0.77828,0.66601,0.63012,1.02329,0.89813,0.0009109,0.0009109,0.0009109
11,427.375,0.70833,1.07095,0.99246,0.63988,0.85016,0.76738,0.66586,0.62714,0.94789,0.90512,0.000901,0.000901,0.000901
12,466.773,0.70861,1.02947,0.99551,0.62517,0.86983,0.79663,0.68377,0.61168,0.96035,0.89672,0.0008911,0.0008911,0.0008911
13,502.956,0.69393,1.03179,0.99082,0.69889,0.84978,0.84458,0.72465,0.62908,0.79252,0.8807,0.0008812,0.0008812,0.0008812
14,540.808,0.69299,1.0146,0.98979,0.62273,0.75165,0.75405,0.64658,0.63011,1.0205,0.90384,0.0008713,0.0008713,0.0008713
15,578.888,0.69193,1.02748,0.98835,0.64517,0.79089,0.79115,0.68455,0.62614,0.99579,0.89699,0.0008614,0.0008614,0.0008614
16,617.315,0.68513,0.99375,0.98722,0.65385,0.85676,0.81331,0.70107,0.60698,0.8438,0.89681,0.0008515,0.0008515,0.0008515
17,654.004,0.7013,0.99026,0.98988,0.64163,0.83729,0.81221,0.69957,0.6311,0.82075,0.8991,0.0008416,0.0008416,0.0008416
18,691.959,0.68602,0.95939,0.98845,0.65961,0.84623,0.80096,0.69232,0.62965,0.87792,0.89755,0.0008317,0.0008317,0.0008317
19,729.915,0.69004,0.95851,0.99387,0.7176,0.87726,0.85097,0.72722,0.63103,0.81241,0.90808,0.0008218,0.0008218,0.0008218
20,765.886,0.6794,0.95557,0.98537,0.73211,0.82421,0.8445,0.72729,0.61346,0.74477,0.88813,0.0008119,0.0008119,0.0008119
21,803.567,0.68322,0.95719,0.98567,0.75217,0.76433,0.79843,0.69282,0.6049,0.83204,0.89201,0.000802,0.000802,0.000802
22,841.584,0.67141,0.93679,0.98317,0.69304,0.79564,0.83383,0.71358,0.61103,0.88262,0.88456,0.0007921,0.0007921,0.0007921
23,877.348,0.67801,0.92785,0.98328,0.68269,0.87576,0.8421,0.73106,0.60909,0.75394,0.88853,0.0007822,0.0007822,0.0007822
24,913.306,0.68195,0.93641,0.98603,0.72416,0.80265,0.85199,0.733,0.63579,0.79758,0.89286,0.0007723,0.0007723,0.0007723
25,950.274,0.68011,0.93032,0.98192,0.61639,0.82362,0.76778,0.66796,0.62933,0.91004,0.89514,0.0007624,0.0007624,0.0007624
26,985.905,0.66907,0.91834,0.98185,0.72669,0.81766,0.85221,0.7361,0.60328,0.76897,0.88404,0.0007525,0.0007525,0.0007525
27,1022.73,0.68204,0.89897,0.98029,0.74217,0.79017,0.84909,0.72928,0.62112,0.74763,0.88619,0.0007426,0.0007426,0.0007426
28,1060.83,0.67396,0.90567,0.98325,0.70573,0.85464,0.84634,0.73449,0.61358,0.755,0.90144,0.0007327,0.0007327,0.0007327
29,1097.6,0.67258,0.91659,0.98472,0.69841,0.88515,0.85192,0.74329,0.61175,0.70283,0.89708,0.0007228,0.0007228,0.0007228
30,1137.36,0.68098,0.93606,0.98591,0.78374,0.79171,0.88206,0.76393,0.61263,0.6965,0.88159,0.0007129,0.0007129,0.0007129
31,1177.16,0.6575,0.87174,0.97238,0.6375,0.75931,0.78809,0.67678,0.62269,0.94844,0.88461,0.000703,0.000703,0.000703
32,1214.63,0.654,0.88407,0.97691,0.70397,0.85779,0.84958,0.74279,0.6012,0.76279,0.88486,0.0006931,0.0006931,0.0006931
33,1251.8,0.65318,0.88259,0.96561,0.77215,0.81123,0.86235,0.74832,0.60557,0.69277,0.87784,0.0006832,0.0006832,0.0006832
34,1289.29,0.65327,0.87605,0.97656,0.78496,0.83184,0.88627,0.76602,0.61227,0.68962,0.8867,0.0006733,0.0006733,0.0006733
35,1327.27,0.65545,0.85957,0.97702,0.74848,0.85845,0.85931,0.74872,0.59862,0.70043,0.88628,0.0006634,0.0006634,0.0006634
36,1364.04,0.66528,0.8464,0.97901,0.72649,0.82658,0.83058,0.7227,0.60261,0.74798,0.88726,0.0006535,0.0006535,0.0006535
37,1401.71,0.6614,0.8684,0.97458,0.7179,0.85449,0.84258,0.73449,0.60101,0.69876,0.88401,0.0006436,0.0006436,0.0006436
38,1438.93,0.65996,0.85906,0.98172,0.80383,0.83054,0.89844,0.77763,0.60241,0.65474,0.88542,0.0006337,0.0006337,0.0006337
39,1476.78,0.6482,0.86846,0.9765,0.74791,0.79466,0.8414,0.723,0.60463,0.70401,0.87868,0.0006238,0.0006238,0.0006238
40,1514.11,0.65027,0.87783,0.97587,0.76914,0.79461,0.84322,0.73144,0.62135,0.76725,0.89483,0.0006139,0.0006139,0.0006139
41,1550.74,0.65045,0.8451,0.97366,0.7511,0.85163,0.87702,0.76234,0.60653,0.69814,0.89032,0.000604,0.000604,0.000604
42,1588.96,0.6459,0.84328,0.96918,0.76145,0.80006,0.87292,0.7598,0.60381,0.70618,0.88577,0.0005941,0.0005941,0.0005941
43,1625.24,0.65743,0.86651,0.98534,0.80121,0.79287,0.88025,0.76444,0.61941,0.70322,0.88369,0.0005842,0.0005842,0.0005842
44,1661.3,0.65368,0.82872,0.98016,0.72104,0.91887,0.87706,0.76071,0.60775,0.68717,0.89858,0.0005743,0.0005743,0.0005743
45,1698.95,0.65079,0.8341,0.97517,0.77543,0.83337,0.88378,0.77159,0.60002,0.6693,0.88414,0.0005644,0.0005644,0.0005644
46,1735.17,0.6435,0.82563,0.96639,0.7667,0.82003,0.88803,0.76894,0.60017,0.64847,0.89047,0.0005545,0.0005545,0.0005545
47,1770.56,0.6512,0.83902,0.97494,0.75068,0.85136,0.88456,0.77357,0.59313,0.64798,0.88614,0.0005446,0.0005446,0.0005446
48,1805.54,0.64335,0.81387,0.9672,0.70803,0.87917,0.86885,0.75556,0.60959,0.66269,0.87939,0.0005347,0.0005347,0.0005347
49,1839.83,0.64628,0.82629,0.97148,0.70403,0.89401,0.87152,0.7528,0.59899,0.6964,0.8929,0.0005248,0.0005248,0.0005248
50,1875.44,0.65907,0.8209,0.9842,0.79659,0.82209,0.86855,0.75659,0.60191,0.68282,0.88548,0.0005149,0.0005149,0.0005149
51,1907.95,0.63917,0.80215,0.97162,0.75838,0.74698,0.81552,0.70538,0.60651,0.80881,0.88999,0.000505,0.000505,0.000505
52,1942.36,0.64168,0.82824,0.97078,0.77526,0.833,0.88421,0.77165,0.59529,0.67709,0.87538,0.0004951,0.0004951,0.0004951
